"Position","Company","Location","Salary","Timestamp"
Telco Technický Konzultant/Developer,CGI CS&EE,Brno – Štýřice,Not specified,"2022-02-04 08:34:14.000000"
Data Engineer pro Emerging Technologies tým,CGI CS&EE,Ostrava – Pustkovec,Not specified,"2022-02-04 08:33:22.000000"
Data Engineer pro Emerging Technologies tým,CGI CS&EE,Praha – Stodůlky,Not specified,"2022-02-04 08:33:13.000000"
Big Data Engineer Junior,"Komerční banka, a.s.",Praha – Stodůlky,Not specified,"2022-02-03 12:17:30.000000"
Software Tester Integrator (f/m/d),"Porsche Engineering Services, s.r.o.",Ostrava – Pustkovec,Not specified,"2022-02-03 07:32:29.000000"
Big Data Engineer / Architect,"Komerční banka, a.s.",Praha – Stodůlky,Not specified,"2022-02-02 20:36:04.000000"
Datová analýza v energetice – Consultant,"KPMG Česká republika, s.r.o.",Praha – Karlín,Not specified,"2022-02-02 16:28:04.000000"
Development Engineer MDR+,"COMMERZBANK Aktiengesellschaft, pobočka Praha",Praha – Nové Město,Not specified,"2022-02-02 11:19:19.000000"
INFRASTRUCTURE EXPERT,teamIT s.r.o.,Praha – Chodov,"80 000–160 000Kč","2022-01-31 16:20:30.000000"
Innovation/Development Engineer – Autonomous Driving (f/m/d),"Porsche Engineering Services, s.r.o.",Praha – Jinonice,Not specified,"2022-01-31 10:21:00.000000"
Software Developer and Data Analyst (f/m/d),"Porsche Engineering Services, s.r.o.",Praha – Jinonice,Not specified,"2022-01-31 10:20:17.000000"
Automation Engineer for Connectivity Services (f/m/d),"Porsche Engineering Services, s.r.o.",Ostrava – Pustkovec + 1 další lokalita,Not specified,"2022-01-27 09:10:24.000000"
Developer for Financial markets,"KBC Group, Shared Service Center CZ",Brno,Not specified,"2022-02-10 11:39:23.000000"
Data Analyst Junior - Web,Notino,Brno – Štýřice,Not specified,"2022-02-10 11:21:05.000000"
Malware Researcher,ESET Research Czech Republic s.r.o.,Praha – Holešovice,Not specified,"2022-02-10 11:03:26.000000"
iOS developer,Natek,Praha,Not specified,"2022-02-10 09:54:46.000000"
Android Developer,Natek,Praha,Not specified,"2022-02-10 09:48:55.000000"
C/C++ Senior Developer,nangu.TV,Praha – Karlín,Not specified,"2022-02-10 09:27:06.000000"
C++ SW Engineer - 3 dny homeoffice týdně,BARTON Consulting s.r.o.,Praha – Nové Město,"65 000–120 000Kč","2022-02-10 08:46:51.000000"
C++ Developer,Chaos Czech a.s.,Praha – Nové Město,"60 000–100 000Kč","2022-02-09 17:41:37.000000"
C++ vývojář,Chaos Czech a.s.,Praha – Nové Město,"60 000–100 000Kč","2022-02-09 17:40:52.000000"
Data Analyst,"Operátor ICT, a. s.",Praha – Holešovice,Not specified,"2022-02-09 16:38:22.000000"
Embedded Software Developer (m/ž),Rieter CZ s.r.o.,Ústí nad Orlicí,Not specified,"2022-02-09 15:47:52.000000"
JAVA Developer (Mid and Senior Levels),Altersis s.r.o.,Praha,Not specified,"2022-02-09 15:37:06.000000"
Agile Test Engineer / Remote QA Tester,ESET Research Czech Republic s.r.o.,Brno – Starý Lískovec,Not specified,"2022-02-09 15:15:10.000000"
Advanced Analytics Analyst,Medtronic Czechia s.r.o.,Praha – Prosek,Not specified,"2022-02-09 14:36:59.000000"
Junior Data Scientist,"ADASTRA, s.r.o.",Praha,Not specified,"2022-02-09 13:36:38.000000"
Výzkumník strojového učení pro cílení a personalizaci,"Seznam.cz, a.s.",Brno,Not specified,"2022-02-09 12:15:03.000000"
Java Developer (Mid-Senior) for ACDC,"Actum X, s.r.o.",Praha – Holešovice,"80 000–140 000Kč","2022-02-09 11:04:43.000000"
Data Engineer,Integromat s.r.o.,Praha – Libeň,Not specified,"2022-02-09 08:47:29.000000"
Výzkumník strojového učení pro doporučovací systémy,"Seznam.cz, a.s.",Praha,Not specified,"2022-02-08 12:27:07.000000"
Data Scientist (f/m/d),Deutsche Börse Group,Praha – Karlín,Not specified,"2022-02-08 12:01:05.000000"
Risk model developer,"PricewaterhouseCoopers Česká republika, s.r.o.",Praha – Nusle,Not specified,"2022-02-08 09:59:22.000000"
Aplikační Inženýr,Siemens s.r.o.,Plzeň – Východní Předměstí,Not specified,"2022-02-08 08:43:34.000000"
Junior Inženýr - Průmyslová Automatizace,Siemens s.r.o.,Plzeň – Východní Předměstí,Not specified,"2022-02-08 08:42:52.000000"
Junior Data Scientist,"DataSentics, a.s.",Praha – Nové Město,"40 000–60 000Kč","2022-02-08 06:40:56.000000"
Senior Model Risk Analyst,"Česká spořitelna, a.s.",Praha – Michle,Not specified,"2022-02-07 14:33:53.000000"
Machine Learning Operations Engineer (f/m/d),Deutsche Börse Group,Praha – Karlín,Not specified,"2022-02-07 14:32:38.000000"
Analytik modelů kreditního rizika - Junior,"Česká spořitelna, a.s.",Praha – Michle,Not specified,"2022-02-07 11:49:53.000000"
SW Test Engineer,esc Aerospace s.r.o.,Praha – Bubeneč,Not specified,"2022-02-07 11:36:58.000000"
AI Software Engineer,Digiteq Automotive s.r.o.,Praha – Braník + 1 další lokalita,Not specified,"2022-02-07 11:35:08.000000"
Analytik/Konzultant - 100% HOME OFFICE,teamIT s.r.o.,Praha – Krč,"110 000–150 000Kč","2022-02-07 11:30:12.000000"
QA Engineer,Flowmon Networks a.s.,Brno – Trnitá,Not specified,"2022-02-07 09:44:32.000000"
DATA ANALYST,COFIDIS s.r.o.,Praha – Stodůlky,Not specified,"2022-02-07 09:06:53.000000"
Datový analytik automatizované péče,"Seznam.cz, a.s.",Praha – Smíchov,Not specified,"2022-02-07 08:37:45.000000"
Data Engineer/Analytik,"Seznam.cz, a.s.",Praha – Smíchov,Not specified,"2022-02-04 14:50:41.000000"
MANUÁLNÍ TESTER/KA | Automotive,CertiCon a.s.,Praha – Dejvice,Not specified,"2022-02-04 14:10:41.000000"
AZURE DEVOPS ENGINEER | Automotive,CertiCon a.s.,Pardubice – Zelené Předměstí,Not specified,"2022-02-04 14:10:14.000000"
C++ VÝVOJÁŘ/KA | Zdravotnictví,CertiCon a.s.,Praha – Dejvice,Not specified,"2022-02-04 14:01:39.000000"
MANUÁLNÍ TESTER/KA | Automotive,CertiCon a.s.,Pardubice – Zelené Předměstí,Not specified,"2022-02-04 13:59:52.000000"
IT Operations,Nano Energies a.s.,Praha – Nové Město,"60 000–100 000Kč","2022-02-04 13:53:53.000000"
DevOps engineer,Generali Česká pojišťovna,Praha – Chodov,Not specified,"2022-02-04 12:46:34.000000"
C#/.Net developer - remote spolupráce možná,teamIT s.r.o.,Brno + 1 další lokalita,"110 000–150 000Kč","2022-02-04 09:06:15.000000"
Senior Data Scientist for Dataclair AI Centre (m/f),O2 Czech Republic a.s.,Praha – Michle,Not specified,"2022-02-03 09:37:16.000000"
SW Developer in Test,"Siemens Mobility, s.r.o.",Praha – Stodůlky,Not specified,"2022-02-02 11:07:48.000000"
Junior Forensic Technical Consultant,Deloitte,Praha – Vinohrady,Not specified,"2022-02-02 10:25:16.000000"
Data Scientist,"KPMG Česká republika, s.r.o.",Praha – Karlín,Not specified,"2022-02-02 09:16:30.000000"
SW Test Engineer - automotive doména,CertiCon a.s.,Olomouc – Hodolany,Not specified,"2022-02-01 12:48:21.000000"
Data Scientist / ML Engineer  (Senior/Medior),"Profinit EU, s.r.o.",okres Hlavní město Praha,Not specified,"2022-02-01 09:40:49.000000"
Java Developer – Counterparty Risk Management,"COMMERZBANK Aktiengesellschaft, pobočka Praha",Praha – Nové Město,Not specified,"2022-01-31 14:38:33.000000"
Infrastructure Engineer,"Seznam.cz, a.s.",Plzeň – Jižní Předměstí,Not specified,"2022-01-31 13:10:43.000000"
Cloud Developer,"Seznam.cz, a.s.",Plzeň – Jižní Předměstí,Not specified,"2022-01-31 12:53:59.000000"
DevOps junior/senior - až 4 dny home office týdně,BARTON Consulting s.r.o.,Praha,"55 000–110 000Kč","2022-01-28 15:26:23.000000"
"Data Scientist (Biomanufacturing), HPP 70-90 000,-Kč","Axial Personnel Agency, s.r.o.",Praha,"70 000–90 000Kč","2022-01-26 14:17:02.000000"
Junior analytik/čka modelů kreditního rizika,MONETA Money,Praha – Michle,Not specified,"2022-01-25 09:39:17.000000"
"BI, Datová analytika, Automatizace - Associate Consultant","KPMG Česká republika, s.r.o.",Praha – Karlín,Not specified,"2022-01-24 10:16:23.000000"
Software Engineering Manager,"Siemens Mobility, s.r.o.",Praha – Stodůlky,Not specified,"2022-01-24 07:47:31.000000"
"Datová analytika, AI a automatizace –⁠ Associate Consultant","KPMG Česká republika, s.r.o.",Brno – Žabovřesky,Not specified,"2022-01-23 13:11:20.000000"
Výzkumník v oblasti Machine Learning,"Seznam.cz, a.s.",Praha,Not specified,"2022-01-20 14:50:51.000000"
Junior Developer for Jenkins,"KBC Group, Shared Service Center CZ",Praha,Not specified,"2022-01-19 16:10:43.000000"
Senior Technical Lead for Jenkins,"KBC Group, Shared Service Center CZ",Praha,Not specified,"2022-01-19 16:10:29.000000"
Cloud Developer,"Seznam.cz, a.s.",Plzeň – Jižní Předměstí,Not specified,"2022-01-18 16:27:04.000000"
Informatik pro práci s texty v XML,Univerzita Karlova - Filozofická fakulta,Praha – Josefov,"40 000–45 000Kč","2022-02-11 00:04:03.000000"
Quality Assurance Specialist,Chaos Czech a.s.,Praha – Nové Město,"40 000–70 000Kč","2022-02-10 17:49:02.000000"
DevOps engineer pro Pilulku,Pilulka Lékárny a.s.,Praha – Libeň,Not specified,"2022-02-10 14:43:14.000000"
