"Position","Company","Location","Salary","Timestamp"
SQL profesionál do Business Intelligence,MallGroup,Praha – Holešovice,Not specified,"2022-02-08 09:53:19.000000"
SOFTWARE ENGINEER C#.NET - UI,Thermo Fisher Scientific,Brno – Černovice,Not specified,"2022-02-08 09:48:16.000000"
Data Analyst,CPL Jobs s.r.o.,Praha,Not specified,"2022-02-08 08:40:08.000000"
IT Security Red Team Expert,embedIT,Praha – Dejvice,Not specified,"2022-02-07 21:28:14.000000"
IT Security Operations Expert,embedIT,Praha – Dejvice,Not specified,"2022-02-07 21:27:26.000000"
Senior Data Scientist,"McKinsey & Company, Inc. Prague - organizační složka",Praha – Krč,Not specified,"2022-02-07 17:52:57.000000"
SOC L2 / SOC L3 Engineer,"PricewaterhouseCoopers Česká republika, s.r.o.",Brno – Brno-město + 1 další lokalita,Not specified,"2022-02-07 17:20:06.000000"
IT Support,Honor Technologies (Czech) s.r.o.,Praha – Krč,Not specified,"2022-02-07 16:32:27.000000"
Programátor / Programátorka PHP,"Fyzikální ústav AV ČR, v. v. i.",Praha – Střešovice,Not specified,"2022-02-07 16:18:14.000000"
Junior Developer/ka,profiq,Ostrava – Poruba,Not specified,"2022-02-07 16:16:22.000000"
Atlassian System Owner,ESET Research Czech Republic s.r.o.,Brno – Starý Lískovec,Not specified,"2022-02-07 16:08:11.000000"
Cloud & Data Engineer,SII s.r.o.,Praha – Michle,Not specified,"2022-02-07 16:00:24.000000"
SAP Basis Administrator,"Kyndryl Česká republika, spol. s r.o.",Brno – Královo Pole,Not specified,"2022-02-07 15:57:19.000000"
.NET Developer,NEORIS Czech Republic,Praha – Smíchov,Not specified,"2022-02-07 15:57:04.000000"
System Engineer/Administrator,"Seznam.cz, a.s.",Praha – Smíchov,Not specified,"2022-02-07 15:54:57.000000"
IT Consultant (ERP Systém),ABRA Software a.s.,Plzeň – Severní Předměstí,Not specified,"2022-02-07 15:53:00.000000"
IT analytik specialista /softwarový inženýr pro digitalizaci,PŘEDVÝBĚR.CZ s.r.o.,Brno – Slatina,Not specified,"2022-02-07 15:52:41.000000"
Technical Support Engineer - Prague,Keyence International,Praha – Nusle,Not specified,"2022-02-07 15:48:31.000000"
.NET WPF developer | 3D simulator | contract,ManpowerGroup s.r.o.,Praha,Not specified,"2022-02-07 15:43:57.000000"
Data Scientist,Ezpada s.r.o.,Praha – Nové Město,Not specified,"2022-02-07 15:27:51.000000"
Linux OPS administrátor/ka,"ACTIVE 24, s.r.o.",Praha – Karlín,Not specified,"2022-02-07 14:50:28.000000"
JAVA Backend Developer - Clearing & Settlement (f/m/d),Deutsche Börse Group,Praha – Karlín,Not specified,"2022-02-07 14:43:24.000000"
Embedded software engineer,Rockwell Automation s.r.o.,Praha – Holešovice,Not specified,"2022-02-07 14:41:56.000000"
Regulatory Credit Risk Modelling Specialist,"UniCredit Bank Czech Republic and Slovakia, a.s.",Praha – Michle,Not specified,"2022-02-07 14:24:15.000000"
Marketing Data Engineer,Vodafone Czech Republic a.s.,Praha – Stodůlky,Not specified,"2022-02-07 14:13:14.000000"
Specialist for Risk Models,"ČSOB Československá obchodní banka, a. s.",Hlavní město Praha,Not specified,"2022-02-07 14:11:29.000000"
Linux Administrátor pro nový Ostravský superpočítač,"VŠB - TUO, IT4Innovations národní superpočítačové centrum",Ostrava – Poruba,Not specified,"2022-02-07 14:09:07.000000"
Systémový programátor C++,Development 777 s.r.o.,Brno – Brněnské Ivanovice,Not specified,"2022-02-07 14:04:52.000000"
Senior System Support Specialist - Infrastructure Operations,DHL Information Services (Europe) s.r.o.,Praha – Chodov,Not specified,"2022-02-07 14:02:12.000000"
Senior Analyst,APS Investments S.à r.l.,Praha – Staré Město,"50 000–60 000Kč","2022-02-07 13:46:37.000000"
Vývojář/ka uživat. rozhraní systém. simulací (UI Developer),"Siemens Mobility, s.r.o.",Praha – Stodůlky,Not specified,"2022-02-07 13:06:24.000000"
Principal Network Engineer – Tools,DHL Information Services (Europe) s.r.o.,Praha – Chodov,Not specified,"2022-02-07 13:01:38.000000"
Senior Network Engineer - Tools,DHL Information Services (Europe) s.r.o.,Praha – Chodov,Not specified,"2022-02-07 12:59:08.000000"
Principal Infrastructure Engineer - Linux,DHL Information Services (Europe) s.r.o.,Praha – Chodov,Not specified,"2022-02-07 12:57:43.000000"
Embedded software engineer,Rockwell Automation s.r.o.,Praha – Holešovice,Not specified,"2022-02-07 12:35:08.000000"
Analytik dat dálkového průzkumu,Česká informační agentura životního prostředí,Praha – Vršovice,Not specified,"2022-02-07 12:23:05.000000"
Bitový a signálový analytik v telekomunikacích,PROFESSIONAL RESOURCING s.r.o.,Praha,"30 000–40 000Kč","2022-02-07 12:06:27.000000"
Správce aplikačního systému / technik,ICZ a.s.,Praha – Nusle,Not specified,"2022-02-07 12:01:00.000000"
Senior Consultant – Corporate Treasury,EY,Praha,Not specified,"2022-02-07 11:54:43.000000"
Datový analytik - Forenzní služby,EY,Praha,Not specified,"2022-02-07 11:52:10.000000"
Database System Administrator (Senior),PPF a.s.,Praha – Dejvice,Not specified,"2022-02-07 11:46:40.000000"
C++ Tech Lead,Digiteq Automotive s.r.o.,Praha – Braník + 1 další lokalita,Not specified,"2022-02-07 11:39:34.000000"
SW Developer - Sensor Data Processing / Control Systems,Digiteq Automotive s.r.o.,Praha – Braník + 1 další lokalita,Not specified,"2022-02-07 11:38:52.000000"
Senior vývojář,PROFESSIONAL RESOURCING s.r.o.,Olomouc – Hodolany,Not specified,"2022-02-07 11:36:57.000000"
Software Tool Developer for Hil Systems,VALEO PRAHA,Praha – Strašnice,Not specified,"2022-02-07 11:36:21.000000"
AI Model Engineer,Digiteq Automotive s.r.o.,Praha – Braník + 1 další lokalita,Not specified,"2022-02-07 11:34:22.000000"
POS Test Automation Engineer,teamIT s.r.o.,Hlavní město Praha,"100 000–140 000Kč","2022-02-07 11:33:59.000000"
Manažer technických projektů,PROFESSIONAL RESOURCING s.r.o.,Praha,"45 000–52 000Kč","2022-02-07 11:27:27.000000"
Software analyst (RCM Team),embedIT,Brno – Brno-město,Not specified,"2022-02-07 11:20:24.000000"
DevOps Engineer/Specialist,embedIT,Brno – Brno-město,Not specified,"2022-02-07 11:19:16.000000"
Senior Support Engineer,SII s.r.o.,Praha – Michle,Not specified,"2022-02-07 11:18:55.000000"
Big Data Platform DevOps,embedIT,Praha – Dejvice,Not specified,"2022-02-07 11:18:41.000000"
Ethical Hacker / Pen Tester- junior,TÜV SÜD Czech s.r.o.,Mladá Boleslav – Bezděčín,Not specified,"2022-02-07 11:18:08.000000"
Test Operations Engineer (f/m/d),Deutsche Börse Group,Praha – Karlín,Not specified,"2022-02-07 11:16:56.000000"
Agile Test Engineer / QA tester ESET PROTECT Cloud,ESET Research Czech Republic s.r.o.,Brno – Starý Lískovec,Not specified,"2022-02-07 11:12:40.000000"
Junior Configuration Engineer / Java Consultant,Pricefx s.r.o.,Praha – Karlín,Not specified,"2022-02-07 10:18:01.000000"
Senior DevOps Engineer,Flowmon Networks a.s.,Brno – Trnitá,Not specified,"2022-02-07 10:15:50.000000"
Big Data Consultant,"PricewaterhouseCoopers Česká republika, s.r.o.",Brno – Brno-město + 1 další lokalita,Not specified,"2022-02-07 10:14:25.000000"
Data Scientist,"PricewaterhouseCoopers Česká republika, s.r.o.",Brno – Brno-město + 1 další lokalita,Not specified,"2022-02-07 10:13:10.000000"
System Tester for Train IT,"Siemens Mobility, s.r.o.",Praha – Stodůlky,Not specified,"2022-02-07 09:53:17.000000"
QA Tester,Melown Technologies SE,Praha – Smíchov,Not specified,"2022-02-07 09:06:49.000000"
Agile QA Tester macOS,ESET Research Czech Republic s.r.o.,Brno – Starý Lískovec,Not specified,"2022-02-07 08:41:57.000000"
Samostatný správce aplikací,ZETOR TRACTORS a.s.,Brno – Líšeň,Not specified,"2022-02-07 08:35:17.000000"
CFD výpočtář – 1D/3D - vhodné i pro absolventy,AKKA Czech Republic s.r.o.,Praha – Stodůlky,Not specified,"2022-02-07 07:36:46.000000"
Specialista rozvoje dispečerského systémuj,"Plzeňská teplárenská, a.s.",Plzeň – Bolevec,Not specified,"2022-02-07 07:28:35.000000"
DevOps engineer,Edhouse s.r.o.,Olomouc – Nová Ulice + 2 další lokality,Not specified,"2022-02-07 06:39:59.000000"
Vývojář s přesahem do devopsu,"ARTIN, spol. s r.o.",Praha – Nusle,Not specified,"2022-02-06 22:33:47.000000"
QA specialista - automatizované testy,"ARTIN, spol. s r.o.",Praha – Nusle,Not specified,"2022-02-06 22:30:03.000000"
Hledáme vývojáře se znalostí GO nebo chutí se GO naučit,Seven Reasons s.r.o.,Hlavní město Praha,Not specified,"2022-02-06 20:46:18.000000"
Validation Engineer,AKKA Czech Republic s.r.o.,Plzeň – Skvrňany,Not specified,"2022-02-06 17:32:14.000000"
Validation Engineer,AKKA Czech Republic s.r.o.,České Budějovice – České Budějovice 1,"45 000–60 000Kč","2022-02-06 17:31:27.000000"
Validation Engineer,AKKA Czech Republic s.r.o.,Praha – Stodůlky,Not specified,"2022-02-06 17:30:24.000000"
Information Security Engineer – Application Development,DHL Information Services (Europe) s.r.o.,Praha – Chodov,Not specified,"2022-02-06 17:07:58.000000"
Principal Information Security Engineer – Zero Trust,DHL Information Services (Europe) s.r.o.,Praha – Chodov,Not specified,"2022-02-06 17:06:40.000000"
Distinguished Information Security Engineer – IAM,DHL Information Services (Europe) s.r.o.,Praha – Chodov,Not specified,"2022-02-06 17:05:18.000000"
Principal Information Security Engineer – Data Analytics,DHL Information Services (Europe) s.r.o.,Praha – Chodov,Not specified,"2022-02-06 17:04:44.000000"
Distinguished Information Security Engineer – ERP (SAP),DHL Information Services (Europe) s.r.o.,Praha – Chodov,Not specified,"2022-02-06 17:04:04.000000"
Market Risk Analyst - Energy Trading and Risk Management,ManpowerGroup s.r.o.,Praha,Not specified,"2022-02-04 19:24:33.000000"
Datový analytik,"Economia, a.s.",Praha – Karlín,Not specified,"2022-02-04 15:51:19.000000"
Data AI/ML Engineer,"IDC Central Europe, the Middle East & Africa",Praha – Staré Město,Not specified,"2022-02-04 14:49:22.000000"
Vývojář/ka nástrojů v .NET pro Trading,"ČEZ, a. s.",Praha – Michle + 1 další lokalita,Not specified,"2022-02-04 14:33:32.000000"
Software Engineer I – Avionics Displays - AEROSPACE,"Honeywell, spol. s r.o.",Brno – Slatina,Not specified,"2022-02-04 14:32:54.000000"
Software Engineer II – Guidance and Navigation with C  AERO,"Honeywell, spol. s r.o.",Brno – Slatina,Not specified,"2022-02-04 14:28:05.000000"
SW architect/vývojář,R4U s.r.o.,Praha,Not specified,"2022-02-04 14:21:05.000000"
Vedoucí Portfolio managementu,Skupina E.ON,České Budějovice + 1 další lokalita,Not specified,"2022-02-04 14:13:19.000000"
Systémový administrátor ( Junior ),"KadeL Data servis, spol. s r. o.",Plzeň – Lobzy,Not specified,"2022-02-04 11:09:38.000000"
Bezpečnostní analytik/analytička,Národní úřad pro kybernetickou a informační bezpečnost,Brno – Žabovřesky,Not specified,"2022-02-04 08:50:11.000000"
Earthquake Catastrophe Model Developer,Aon Central and Eastern Europe a.s.,Praha – Nové Město,Not specified,"2022-02-03 18:28:23.000000"
Material Data Steward,Resideo,Brno,Not specified,"2022-02-03 17:03:41.000000"
Senior .NET Developer for Corporate Finance,"COMMERZBANK Aktiengesellschaft, pobočka Praha",Praha – Nové Město,Not specified,"2022-02-03 17:02:29.000000"
SYSTÉMOVÝ ARCHITEKT,LPP s.r.o.,Praha – Libeň,Not specified,"2022-02-03 16:38:36.000000"
Java developer,GIT Consult Czech s.r.o.,Praha,Not specified,"2022-02-03 16:35:56.000000"
Business Analyst – MCC,"COMMERZBANK Aktiengesellschaft, pobočka Praha",Praha – Nové Město,Not specified,"2022-02-03 15:58:06.000000"
Project leader focusing on data analytics,Bosch České Budějovice,České Budějovice – České Budějovice 3,Not specified,"2022-02-03 14:00:31.000000"
Data scientist - I4.0 DNOX,Bosch České Budějovice,České Budějovice – České Budějovice 3,Not specified,"2022-02-03 13:52:56.000000"
WEB DATA SPECIALIST,Atlas Copco Services s.r.o.,Brno – Štýřice,Not specified,"2022-02-03 13:43:24.000000"
C/C++ Embedded vývojář,SII s.r.o.,Praha – Michle,Not specified,"2022-02-03 12:40:15.000000"
Escalations Support Engineer,ZEBRA TECHNOLOGIES EUROPE LIMITED,Brno – Trnitá,Not specified,"2022-02-03 12:18:37.000000"
Platform Engineer,Currys CoE s.r.o.,Brno – Trnitá,Not specified,"2022-02-03 11:41:28.000000"
Software tester v medicínském vývoji,BTL Medical Technologies s.r.o.,Praha – Vokovice,Not specified,"2022-02-03 11:30:19.000000"
IT recruiter,Deloitte,Praha – Vinohrady,Not specified,"2022-02-03 10:08:24.000000"
Data Scientist for Dataclair AI Centre (m/f),O2 Czech Republic a.s.,Praha – Michle,Not specified,"2022-02-03 09:39:05.000000"
Integration tester with C,Siemens s.r.o.,Praha – Stodůlky,Not specified,"2022-02-03 08:35:23.000000"
Kvantitativní analytik,NN Životní pojišťovna a NN Penzijní společnost,Praha – Smíchov,Not specified,"2022-02-03 08:34:04.000000"
CAE inženýr,THK RHYTHM AUTOMOTIVE CZECH a.s.,Brno – Medlánky,Not specified,"2022-02-03 07:46:44.000000"
Development Engineer for Vehicle Integration (f/m/d),"Porsche Engineering Services, s.r.o.",Ostrava – Pustkovec,Not specified,"2022-02-03 07:34:03.000000"
Data Analyst (f/m/d),"Porsche Engineering Services, s.r.o.",Ostrava – Pustkovec,Not specified,"2022-02-03 07:31:01.000000"
Datová analytika a datová architektura – Consultant,"KPMG Česká republika, s.r.o.",Praha – Karlín,Not specified,"2022-02-02 16:27:52.000000"
Cyber Security - Senior Consultant,"KPMG Česká republika, s.r.o.",Praha – Karlín,Not specified,"2022-02-02 16:27:34.000000"
C# Programátor pro Vision Systems,TE connectivity,Kuřim,"48 000–50 000Kč","2022-02-02 15:40:31.000000"
Vision Systems PLC Programátor,TE connectivity,Kuřim,"60 000–70 000Kč","2022-02-02 15:40:19.000000"
Linux System Administrator,Currys CoE s.r.o.,Brno – Trnitá,Not specified,"2022-02-02 14:34:03.000000"
C# programátor informačních systémů,BTL Medical Technologies s.r.o.,Praha – Vokovice,Not specified,"2022-02-02 12:38:29.000000"
System/Release Engineer,BNP Paribas Cardif,Praha – Libeň,Not specified,"2022-02-02 11:38:28.000000"
System Test Developer,"Siemens Mobility, s.r.o.",Praha – Stodůlky,Not specified,"2022-02-02 11:08:12.000000"
Datový analytik/Konzultant,Deloitte,Praha – Vinohrady,Not specified,"2022-02-02 10:20:55.000000"
Consultant - Advanced Analytics,Deloitte,Praha – Vinohrady,Not specified,"2022-02-02 10:20:21.000000"
Data Scientist,"ČSOB Československá obchodní banka, a. s.",Praha – Radlice,Not specified,"2022-02-02 10:04:18.000000"
Java Developer | Oblast telekomunikace,CertiCon a.s.,Praha – Dejvice,Not specified,"2022-02-02 09:56:06.000000"
IT ARCHITEKT - Ostrava| atraktivní mzda!!,ManpowerGroup s.r.o.,Ostrava,"60 000–90 000Kč","2022-02-01 17:09:57.000000"
Risk Analyst / Data Analyst,Home Credit International a.s.,Brno – Štýřice,Not specified,"2022-02-01 16:37:37.000000"
SW tester pro Power Electronics,ZF Česká republika,Plzeň – Skvrňany + 1 další lokalita,"35 000–65 000Kč","2022-02-01 15:25:45.000000"
"R&D Team Support - Internship (f/m/d) (DPC, Ostrava)","Porsche Engineering Services, s.r.o.",Ostrava – Pustkovec,Not specified,"2022-02-01 15:15:13.000000"
Junior DevOps Engineer - Kubernetes/Azure/Terraform,NNIT Czech Republic s.r.o.,Praha – Stodůlky,Not specified,"2022-02-01 15:12:42.000000"
VERIFICATION ENGINEER,onsemi,Brno – Přízřenice,Not specified,"2022-02-01 15:12:34.000000"
Senior konzultant – tým Řízení kreditního rizika,EY,Praha,Not specified,"2022-02-01 14:18:01.000000"
Konzultant/vývojář modelů – tým Řízení kreditního rizika,EY,Praha,Not specified,"2022-02-01 14:17:54.000000"
Senior konzultant – tým Řízení tržního rizika,EY,Praha,Not specified,"2022-02-01 14:17:18.000000"
Systémový analytik (m/ž),"Kooperativa pojišťovna, a.s., VIG",Praha – Karlín,Not specified,"2022-02-01 14:13:56.000000"
IT Technický designér/-ka,"ČSOB Československá obchodní banka, a. s.",Praha,Not specified,"2022-02-01 13:39:54.000000"
Cloud Developer,"Profinit EU, s.r.o.",Hlavní město Praha,Not specified,"2022-02-01 09:42:11.000000"
Cloud DevOps Engineer,"Profinit EU, s.r.o.",okres Hlavní město Praha,Not specified,"2022-02-01 09:41:30.000000"
Technický Specialista (BIGDATA/HPC/LINUX),"Atos IT Solutions and Services, s.r.o.",Praha – Nusle,Not specified,"2022-02-01 08:36:31.000000"
Data Analyst,MND a.s.,Praha,Not specified,"2022-01-31 19:37:31.000000"
DATOVÝ ARCHITEKT,J&T BANKA,Praha – Karlín,Not specified,"2022-01-31 16:53:30.000000"
BI Linux vývojář (m/ž),O2 Czech Republic a.s.,Praha – Michle,Not specified,"2022-01-31 14:55:59.000000"
Software Engineer for Databases and Datawarehouses,"COMMERZBANK Aktiengesellschaft, pobočka Praha",Praha – Nové Město,Not specified,"2022-01-31 14:37:21.000000"
Trainee Program - Junior Cloud and Automation Engineer,Vodafone Czech Republic a.s.,Praha – Stodůlky,Not specified,"2022-01-31 13:55:14.000000"
Cyber Security Enthusiast,AKKA Czech Republic s.r.o.,Plzeň – Skvrňany,Not specified,"2022-01-31 13:34:54.000000"
DevOps Engineer do ICT týmu,Košík.cz s.r.o.,Praha – Dejvice,Not specified,"2022-01-31 13:20:25.000000"
Reporting Analyst,"KBC Group, Shared Service Center CZ",Jihomoravský kraj,Not specified,"2022-01-31 13:04:33.000000"
Game analytik | Zdokonaluj s námi herní platformy,Talentica s.r.o.,Brno,"36 000–60 000Kč","2022-01-31 12:35:59.000000"
Market Risk Specialist,EP Commodities a.s.,Praha – Nové Město,Not specified,"2022-01-31 12:27:34.000000"
Junior QA Automation Engineer (Part time possible),Veeam Software (Czech Republic) s.r.o.,Praha – Karlín,"60 000–90 000Kč","2022-01-31 12:26:41.000000"
Konzultant  GIS,Arkance Systems CZ s.r.o.,České Budějovice + 1 další lokalita,Not specified,"2022-01-31 08:52:11.000000"
Automation Test Engineer for PLC Distributed I/O systems,Siemens s.r.o.,Praha – Stodůlky,Not specified,"2022-01-31 08:46:50.000000"
SPECIALISTA/SPECIALISTKA BEZPEČNOSTI IT PROVOZU,J&T,Praha – Karlín,Not specified,"2022-01-28 17:11:50.000000"
SYSTEM ADMINISTRATOR/ENGINEER,PERASPERA group,Plzeň – Vnitřní Město,"60 000–75 000Kč","2022-01-28 17:02:37.000000"
EDA TOOL inženýr - Junior&Senior,onsemi,Rožnov pod Radhoštěm,Not specified,"2022-01-28 16:48:02.000000"
"Quantitative Analyst, Trading","ČEZ, a. s.",Praha – Michle,Not specified,"2022-01-28 16:17:41.000000"
Mid-senior/Senior Linux Administrátor - i 100% home office,BARTON Consulting s.r.o.,Praha,Not specified,"2022-01-28 16:00:44.000000"
ArcSight technický specialista,S&T CZ s.r.o.,Praha – Chodov,Not specified,"2022-01-28 15:15:41.000000"
WEBOVÝ ANALYTIK / DATOVÝ SPECIALISTA,"FAST ČR, a.s.",Říčany,"33 000–36 000Kč","2022-01-28 12:58:11.000000"
Full stack vývojář/ka,"Seznam.cz, a.s.",Praha – Smíchov,Not specified,"2022-01-27 22:52:27.000000"
Data Analyst/Scientist (WT),Wunderman Thompson,Praha – Holešovice,Not specified,"2022-01-27 18:23:10.000000"
Projekt manažer senior - BI / automation expert,Skupina E.ON,Brno + 2 další lokality,Not specified,"2022-01-27 17:52:36.000000"
QA Engineer Intern,AVAST Software s.r.o.,Praha – Nusle,Not specified,"2022-01-27 16:05:30.000000"
Business Analyst - Counterparty Risk Management,"COMMERZBANK Aktiengesellschaft, pobočka Praha",Praha – Nové Město,Not specified,"2022-01-27 15:43:53.000000"
INTEGRAČNÍ SPECIALISTA,VŠEOBECNÁ ZDRAVOTNÍ POJIŠŤOVNA ČESKÉ REPUBLIKY,Praha – Vinohrady,Not specified,"2022-01-27 10:42:12.000000"
International credit risk model expert,"ČSOB Československá obchodní banka, a. s.",Hlavní město Praha,Not specified,"2022-01-27 09:43:31.000000"
UNIX Team Leader,MONETA Money,Praha,Not specified,"2022-01-26 17:02:36.000000"
Embedded C/C++ Developer for Rail Automation,"Siemens Mobility, s.r.o.",Praha – Stodůlky,Not specified,"2022-01-26 14:14:10.000000"
Vývojář testovací aplikace pro HW Lib,ZF Česká republika,Plzeň – Skvrňany + 1 další lokalita,Not specified,"2022-01-26 13:36:42.000000"
.NET VÝVOJÁŘ/KA| Zdravotnictví,CertiCon a.s.,Praha – Dejvice,Not specified,"2022-01-26 12:43:41.000000"
Pátráme po analytikovi schvalovacích strategií,Air Bank a.s.,Brno – Staré Brno + 1 další lokalita,Not specified,"2022-01-26 11:21:12.000000"
MECHATRONICS ENGINEER - TRANSMISSION MICROSCOPY,Thermo Fisher Scientific,Brno – Černovice,Not specified,"2022-01-26 11:14:05.000000"
Specialista/ka testování elektroniky (automotive),Digiteq Automotive s.r.o.,Mladá Boleslav,Not specified,"2022-01-26 09:20:02.000000"
Test analytik/analytička pro automatizované testy,Digiteq Automotive s.r.o.,Mladá Boleslav,Not specified,"2022-01-26 09:18:58.000000"
"DevOps – senior nebo medior, který chce růst (65-130.000 Kč)","Jobs Contact Consulting, s.r.o.",Brno – Veveří + 1 další lokalita,"65 000–130 000Kč","2022-01-25 14:59:26.000000"
junior/senior IT konzultant,R4U s.r.o.,Praha,Not specified,"2022-01-25 12:41:55.000000"
Software developer in C++ and MPS (f/m/d),"Porsche Engineering Services, s.r.o.",Praha – Jinonice,Not specified,"2022-01-25 10:26:02.000000"
Analytik/čka modelů kreditního rizika,MONETA Money,Praha – Michle,Not specified,"2022-01-25 09:43:58.000000"
Data Mining – Datový architekt,Bosch České Budějovice,České Budějovice – České Budějovice 3,Not specified,"2022-01-24 14:55:41.000000"
BI Data Scientist,SAZKA a.s.,Praha – Vokovice,Not specified,"2022-01-24 13:48:18.000000"
QA Engineer pro Stream.cz – Remote,"Seznam.cz, a.s.",Brno,Not specified,"2022-01-24 11:17:15.000000"
Data Scientist,REED SPECIALIST RECRUITMENT,Praha,"80 000–110 000Kč","2022-01-24 10:57:43.000000"
BI Datový analytik,Notino,Brno – Štýřice,Not specified,"2022-01-24 10:10:07.000000"
Service Owner - L2 support (Linux),"Česká spořitelna, a.s.",Praha – Michle,Not specified,"2022-01-23 12:44:28.000000"
JavaScript developer se zájmem o DevOps (7659),"ITjobs, s.r.o.",Brno,Not specified,"2022-01-21 16:49:37.000000"
Vývojář testovacích modelů,ZF Česká republika,Plzeň – Skvrňany,Not specified,"2022-01-21 16:13:57.000000"
Control Software Test Engineer,Bosch Termotechnika s.r.o.,Krnov – Pod Cvilínem,Not specified,"2022-01-21 15:14:40.000000"
Content Engineer SIEM/SOAR - Home office,T-Mobile Czech Republic a.s.,Praha – Chodov,Not specified,"2022-01-21 14:48:52.000000"
Java Developer – Black Boxes - AEROSPACE,"Honeywell, spol. s r.o.",Brno – Slatina,Not specified,"2022-01-21 11:52:08.000000"
APP DEVELOPER - Možný Homeoffice,Teleperformance Česká republika,Brno – Starý Lískovec + 1 další lokalita,"50 000–70 000Kč","2022-01-21 10:58:13.000000"
Senior technik bezpečnostních technologií,"EG.D, a.s.",Brno + 1 další lokalita,Not specified,"2022-01-21 10:06:26.000000"
Software Test Engineer (m/ž),Vitesco Technologies Czech Republic s.r.o. - Ostrava,Ostrava – Hrabová,Not specified,"2022-01-21 08:14:57.000000"
Konzultant pro oblast ESG – tým Financial Services,EY,Praha,Not specified,"2022-01-20 17:43:14.000000"
⋙ IT Specialista – migrace na cloud (MS Azure) ⋘,"mBlue Czech, s.r.o.",Hlavní město Praha,"40 000–80 000Kč","2022-01-20 16:31:26.000000"
Senior Security Consultant - Pen Tester,OKIN Agency s.r.o.,Praha,Not specified,"2022-01-20 13:39:28.000000"
Software Developer for BMS (f/m/d),"Porsche Engineering Services, s.r.o.",Ostrava – Pustkovec + 1 další lokalita,Not specified,"2022-01-20 12:59:51.000000"
DevOps Engineer for Measurement System,T-Mobile Czech Republic a.s.,Praha – Chodov,Not specified,"2022-01-20 12:34:58.000000"
Manažer portfolio managementu - junior/senior,Skupina E.ON,České Budějovice + 1 další lokalita,Not specified,"2022-01-20 08:27:56.000000"
SW Tool Developer LabVIEW,VALEO PRAHA,Praha – Strašnice,Not specified,"2022-01-19 16:51:36.000000"
Teradata DB Administrator,"KBC Group, Shared Service Center CZ",Praha,Not specified,"2022-01-19 16:08:47.000000"
Rainbow Technical Designer,"KBC Group, Shared Service Center CZ",Praha,Not specified,"2022-01-19 16:07:49.000000"
RDM Technical Designer,"KBC Group, Shared Service Center CZ",Praha,Not specified,"2022-01-19 16:07:35.000000"
Technical Developer,"KBC Group, Shared Service Center CZ",Praha,Not specified,"2022-01-19 16:07:19.000000"
Security Technical Developer,"KBC Group, Shared Service Center CZ",Praha,Not specified,"2022-01-19 16:06:29.000000"
Complete Vehicle Analyst – Data-Driven Engineering (f/m/d),"Porsche Engineering Services, s.r.o.",Praha – Jinonice,Not specified,"2022-01-19 13:36:27.000000"
SW Developer & Control Engineer for Active Chassis (f/m/d),"Porsche Engineering Services, s.r.o.",Praha – Jinonice,Not specified,"2022-01-19 13:36:13.000000"
Data Scientist / Data Science Program Manager,"Zentiva Group, a.s.",Praha – Dolní Měcholupy,Not specified,"2022-01-19 11:23:04.000000"
Simulační inženýr se zaměřením na automatizaci,ZF Česká republika,Plzeň – Skvrňany,Not specified,"2022-01-19 11:19:01.000000"
JAVA DEVELOPER | UI | Komunikační systém řízení let. provozu,CertiCon a.s.,Plzeň – Východní Předměstí,Not specified,"2022-01-19 09:50:01.000000"
System Support Specialist – Desktop Virtualization,DHL Information Services (Europe) s.r.o.,Praha – Chodov,Not specified,"2022-01-19 09:30:55.000000"
Specialista řídicích systémů - IT interfaces,Continental Barum s.r.o.,Otrokovice,Not specified,"2022-01-19 09:12:03.000000"
SW developer / Impact Forecasting – Product Development,Aon Central and Eastern Europe a.s.,Praha – Nové Město,Not specified,"2022-01-19 08:36:06.000000"
Cloud engineer / junior,"Seznam.cz, a.s.",Praha – Smíchov,Not specified,"2022-01-18 16:32:03.000000"
QA Manager,REED SPECIALIST RECRUITMENT,Praha,Not specified,"2022-01-18 10:12:05.000000"
BI Analytik,DoDo Czech s.r.o.,Praha – Karlín,Not specified,"2022-01-18 09:23:56.000000"
Výzkumník pro Mapy.cz,"Seznam.cz, a.s.",Brno,Not specified,"2022-01-18 08:49:33.000000"
Cloud and Automation Team Lead,Vodafone Czech Republic a.s.,Praha – Stodůlky,Not specified,"2022-01-17 14:32:15.000000"
Product Manager Big Data,"Seznam.cz, a.s.",Praha,Not specified,"2022-01-17 14:26:14.000000"
⋙ Senior SW tester ⋘,"mBlue Czech, s.r.o.",Praha,Not specified,"2022-01-17 13:57:54.000000"
EUC Developer,"KBC Group, Shared Service Center CZ",Brno,Not specified,"2022-01-17 12:15:16.000000"
Inženýr pro vibrační / akustické analýzy,ZF Česká republika,Zlín,Not specified,"2022-01-17 11:57:13.000000"
IT Consultant - Tax dpt.,"PricewaterhouseCoopers Česká republika, s.r.o.",Praha – Nusle,Not specified,"2022-01-17 10:30:47.000000"
Validation Engineer - Mladá Boleslav,AKKA Czech Republic s.r.o.,Mladá Boleslav – Mladá Boleslav I,Not specified,"2022-01-17 10:09:22.000000"
SW Developer (C#/ASP.NET) (7644),"ITjobs, s.r.o.",Brno,Not specified,"2022-01-17 09:58:11.000000"
Linux System Manager,Siemens s.r.o.,Praha – Stodůlky,Not specified,"2022-01-17 09:52:14.000000"
